Item,Store,Price
Shoes/Boots,Emmaus,9.937791565269471
Shoes/Boots,Friperie_Remoise,18.658595839675765
Shoes/Boots,Ding_Fring,18.707345127388542
Shoes/Boots,HM_Reims,22.516166918580254
T-shirt,Emmaus,8.467859605857608
T-shirt,Friperie_Remoise,19.269616983891968
T-shirt,Ding_Fring,11.009532069286546
T-shirt,HM_Reims,12.308395771374464
Button up shirt,Emmaus,12.229003018738352
Button up shirt,Friperie_Remoise,15.192221755749648
Button up shirt,Ding_Fring,11.527532313946915
Button up shirt,HM_Reims,26.345862033744115
Jacket,Emmaus,10.48088552262345
Jacket,Friperie_Remoise,13.862280032691146
Jacket,Ding_Fring,17.839658887916762
Jacket,HM_Reims,24.73129251933599
Kitchenware,Emmaus,10.551037521977593
Kitchenware,Friperie_Remoise,14.44465922821175
Kitchenware,Ding_Fring,7.6932204999833225
Kitchenware,HM_Reims,14.018172218034081
Necklace (Silver),Emmaus,2.7970232269355337
Necklace (Silver),Friperie_Remoise,22.12705381294266
Necklace (Silver),Ding_Fring,11.679518051205742
Necklace (Silver),HM_Reims,14.583301576844521
Belt,Emmaus,11.051202630419738
Belt,Friperie_Remoise,12.810187678606495
Belt,Ding_Fring,16.255432753552654
Belt,HM_Reims,27.299728709146116
Mugs/cups,Emmaus,6.525561171454932
Mugs/cups,Friperie_Remoise,21.585976093647147
Mugs/cups,Ding_Fring,7.863111742339407
Mugs/cups,HM_Reims,25.065129287872775
Jeans,Emmaus,16.059329486060488
Jeans,Friperie_Remoise,7.4157333407259705
Jeans,Ding_Fring,15.968089635880382
Jeans,HM_Reims,22.74178576203432
Pants,Emmaus,3.4672177632784686
Pants,Friperie_Remoise,10.047048774334298
Pants,Ding_Fring,7.087287295830033
Pants,HM_Reims,13.092052154456804
Bag,Emmaus,7.015094463065942
Bag,Friperie_Remoise,20.731376112129254
Bag,Ding_Fring,6.202154190379889
Bag,HM_Reims,15.991274324978045
Scarf,Emmaus,16.668527891254904
Scarf,Friperie_Remoise,17.30448768
Scarf,Ding_Fring,4.072323342423514
Scarf,HM_Reims,15.358467971680968
Hat,Emmaus,15.929255119571742
Hat,Friperie_Remoise,22.02716620026271
Hat,Ding_Fring,10.215500852991527
Hat,HM_Reims,14.172884884615632
Coat,Emmaus,8.931641882
Coat,Friperie_Remoise,7.873967933930841
Coat,Ding_Fring,20.048241582880337
Coat,HM_Reims,21.486755036808002
Tie,Emmaus,1.6409267931245186
Tie,Friperie_Remoise,14.693015240582271
Tie,Ding_Fring,19.12293600419135
Tie,HM_Reims,18.25923078
Suit,Emmaus,3.453253349119287
Suit,Friperie_Remoise,12.646366939966775
Suit,Ding_Fring,9.236504689891762
Suit,HM_Reims,14.194504047452455
Dress,Emmaus,16.77760351403577
Dress,Friperie_Remoise,12.405551234925555
Dress,Ding_Fring,18.411320346059053
Dress,HM_Reims,12.615769768482654
